about	round	around
on	over	about
have gone to abroad	have gone abroad
["my best" "make"]	["my best" "do"]
["make our" "best"]	["do our" "best"]
["our best" "make"]	["our best" "do"]
["make your" "best"]	["do your" "best"]
["your best" "make"]	["your best" "do"]
["make its" "best"]	["do its" "best"]
["its best" "make"]	["its best" "do"]
["make her" "best"]	["do her" "best"]
["her best" "make"]	["her best" "do"]
["make his" "best"]	["do his" "best"]
["his best" "make"]	["his best" "do"]
["make their" "best"]	["do their" "best"]
["their best" "make"]	["their best" "do"]
beloved	favourite	favorite
dear	favourite	favorite
loved	favourite	favorite
favourite	beloved	dearest
favorite	beloved	dearest
best	beloved	dearest
loved	beloved	dearest
more good	better
more well	better
better	'd better	had better
would better	'd better	had better
big	great
large	great
great	big	large
billet	ticket
biscuit	sponge cake
bizarre	odd	strange
blame	criticize	["show" "up"]
blind	blind man	blind person
block	["hold" "up"]	pad
blouse	smock	sweater
["boast" "for"]	["boast" "of"]	["boast" "about"]
["boast" "with"]	["boast" "of"]	["boast" "about"]
body	figure	shape
physique	figure	shape
silhouette	figure	shape
figure	body
physique	body
silhouette	body
physic	physique
gas cartridge	bomb
border	boundary
frontier	boundary
boring	annoying
both of us	the two of us
both of you	the two of you
both of them	the two of them
both us	the two of us
both you	the two of you
both them	the two of them
box	boxing
brave	good	nice
courageous	good	nice
small bread	roll	bread roll
["make" "break"]	["have" "break"]
["break" "make"]	["break" "have"]
["do" "break"]	["have" "break"]
["break" "do"]	["break" "have"]
["make" "breakdown"]	["have" "breakdown"]
["breakdown" "make"]	["breakdown" "have"]
["do" "breakdown"]	["have" "breakdown"]
["breakdown" "do"]	["breakdown" "have"]
["make" "breakdown"]	["have" "breakdown"]	["have" "nervous breakdown"]
["breakdown" "make"]	["breakdown" "have"]	["nervous breakdown" "have"]
["do" "breakdown"]	["have" "breakdown"]	["have" "nervous breakdown"]
["breakdown" "do"]	["breakdown" "have"]	["nervous breakdown" "have"]
brief	letter
bright	brightly
shiny	bright
shining	bright
shiny	bright
bring	deliver
boil	grill
["is" "broken"]	["isn't" "working"]
["are" "broken"]	["aren't" "working"]
["be" "broken"]	["be" "not working"]	["be" "out of order"]
brutal	bestial
beastly	bestial
bestial	brutal
brutal	beastly
bestial	beastly
buffet	sideboard
with the bus	by bus
["with" "bus"]	["on" "bus"]
["make" "business"]	["do" "business"]
["business" "make"]	["business" "do"]
["do" "business"]	["do" "a lot of business"]
["into" "business"]	["in" "business"]
["for" "business"]	["on" "business"]
entrepreneur	businessman
bust	burst
busy	occupied	engaged	in use
occupied	busy	engaged
busy	occupied
engaged	occupied
in use	occupied
butcher	butcher's
by	near
by and by	gradually
cabin	cubicle	phone box	telephone box	call box
cabinet	lavatory	toilet
closet	lavatory	toilet
WC	lavatory	toilet
café	coffee	cafeteria
calendar	time-table	timetable	schedule
diary	time-table	timetable	schedule
calendar	diary
["do" "call"]	["make" "call"]
["call" "do"]	["call" "make"]
["do" "phone call"]	["make" "phone call"]
["phone call" "do"]	["phone call" "make"]
["do" "call"]	["give" "call"]
["call" "do"]	["call" "give"]
["do" "phone call"]	["give" "phone call"]
["phone call" "do"]	["phone call" "give"]
["make" "call"]	["give" "call"]
["call" "make"]	["call" "give"]
["make" "phone call"]	["give" "phone call"]
["phone call" "make"]	["phone call" "give"]
["call" "on"]	["appeal" "to"]
call	shout at
["call" "at"]	["shout" "at"]
cry	shout at
["cry" "at"]	["shout" "at"]
camera	room
camping	camping site	campsite
go for camping	go camping
can to	can
will can	'll be able to
["will" "can"]	["will" "be able to"]
canal	channel
canopy	settee	sofa
canteen	restaurant
car	cart	lorry	coach	bus
by car	with the car
card	ticket
["play with" "cards"]	["play" "cards"]
play with cards	play a game of cards
["cards" "play with"]	["cards" "play"]
["play at" "cards"]	["play" "cards"]
play at cards	play a game of cards
["cards" "play at"]	["cards" "play"]
be caring	care about
["be" "caring"]	["do" "care about"]
["careful" "for"]	["careful" "of"]	["careful" "about"]
["careful" "with"]	["careful" "of"]	["careful" "about"]
be wearing	have
["be" "wearing"]	["do" "have"]
cart	map
chart	map
map	chart
cart	chart	menu
cartel	card
etiquette	card
cartel	label
etiquette	label
carton	cardboard
cardboard	some cardboard	piece of cardboard
case	cash desk
cash	cash desk
case	occurrence	situation
with cash	cash
["with" "cash"]	["in" "cash"]
casket	peaked cap
casserole	saucepan
["cause" "for"]	["reason" "for"]
["reason" "of"]	["cause" "of"]
["reason" "is because"]	["reason" "is that"]
cave	grotto	cellar
["certain" "for"]	["certain" "of"]	["certain" "about"]
["certain" "from"]	["certain" "of"]	["certain" "about"]
certify	qualify	confirm
declare	confirm
confirm	assure
chaise	lounge	deckchair
cheap	cheaply
deceive	copy	["cheat" "out of"]
copy	["cheat" "out of"]
["with" "cheque"]	["by" "cheque"]
["with" "check"]	["by" "check"]
chest	breast
bust	breast
chick	chic	fashionable
chief	director
chef	director
baby	child	kid
chimney	fireplace	funnel
funnel	chimney
china	some china
crockery	some crockery
chocolate	some chocolate	bar of chocolate
["do" "choice"]	["make" "choice"]
["choice" "do"]	["choice" "make"]
cinema	to the cinema
circulate	run
circulation	traffic
a traffic	a lot of traffic
citron	lemon
town	town of	[""]
country with civilization	developed country	civilized country
civilization	life and institutions
["claim" "to"]	["claim" "from"]	["demand" "from"]
["to" "class"]	["in" "class"]
["at" "class"]	["in" "class"]
classroom	class	lesson
["in" "lesson"]	["in" "classroom"]	["in" "class"]
clean	cleanly
["make" "cleaning"]	["do" "cleaning"]
["cleaning" "make"]	["cleaning" "do"]
much cleaning	a lot of cleaning
clearly	clear of
["make it" "clearly"]	["make it" "clear"]
clear	clearly
shop assistant	attendant	employee	clerk
client	customer
guest	customer
customer	patient
client	patient	guest
customer	guest
["go for" "climbing"]	["go" "climbing"]
["climbing" "go for"]	["climbing" "go"]
clock	watch
["closely" "to"]	["close" "to"]
close	closely	["turn" "off"]
closed	off
shut	off
closed	out
shut	out
off	closed	shut
out	closed	shut
material	cloth
clothing	clothes	a lot of clothes	garment
coach	bus
coal	more charcoal
coarse	course
shore	coast
cost	coast
["on" "coast"]	["at" "beach"]	["at" "seaside"]
["at" "sea"]	["at" "beach"]	["at" "seaside"]
["to" "sea"]	["at" "beach"]	["at" "seaside"]
coast	beach
shore	beach
seaside	beach
cocktail	cocktail party
["have" "cold"]	["be" "cold"]
["make" "cold"]	["be" "cold"]
["have" "cold"]	["be" "cold"]	["'re" "cold"]	["are" "cold"]
cool	get cold
have cold	've caught cold	have caught cold
collar	necklace
collier	necklace	collar
necklace	collar
collier	collar
collation	snack
collect	pick	gather
pick	collect
gather	collect
college	colleague
["to" "college"]	["at" "college"]
column	line	queue
combination	petticoat	slip
slip	bathing costume
combine	conspiracy	holding
come for	come
it's come the time to	the time has come to
comical	comic	comedian
stop	dot
full stop	dot
["order" "that I should"]	["order" "to"]	["command" "to"]
["order" "that we should"]	["order" "to"]	["command" "to"]
["order" "that you should"]	["order" "to"]	["command" "to"]
["order" "that it should"]	["order" "to"]	["command" "to"]
["order" "that she should"]	["order" "to"]	["command" "to"]
["order" "that he should"]	["order" "to"]	["command" "to"]
["order" "that they should"]	["order" "to"]	["command" "to"]
command	order
commissionaire	agent
commode	chest of drawers
common	ordinary	normal
vulgar	ordinary
vulgar	common
normal	common
ordinary	common
companion	partner
["do" "compliment"]	["pay" "compliment"]
["compliment" "do"]	["compliment" "pay"]
["make" "compliment"]	["pay" "compliment"]
["compliment" "do"]	["compliment" "pay"]
compose	arrange
compose from	compose of
compost	compote
["concerned" "with"]	["concerned" "about"]
["afraid" "of"]	["concerned" "about"]
["have fear" "about"]	["be concerned" "about"]
["do" "have fear about"]	["be" "concerned about"]
concerning about	concerning
concurrence	competition
race	competition
competition	race
["condemned" "of"]	["convicted" "of"]
conduct myself	behave	behave myself
conduct ourselves	behave	behave ourselves
conduct yourself	behave	behave yourself
conduct yourselves	behave	behave yourselves
conduct itself	behave	behave itself
conduct herself	behave	behave herself
conduct himself	behave	behave himself
conduct themselves	behave	behave themselves
behave	conduct myself	conduct ourselves	conduct yourself	conduct yourselves	conduct itself	conduct herself	conduct himself	conduct themselves
conductor	driver
chauffeur	driver
driver	conductor
conductor	chauffeur	driver	leader	guide
director	conductor
confection	sweet
confectioner's	tea shop
sweet shop	tea shop	confectioner's
confuse myself	get confused
congeal	freeze
["congratulate" "for"]	["congratulate" "on"]
connect	unite
join	unite
unite	["join" "together"]	connect
conscientious	conscious
conscious	conscientious
conscience	consciousness
conscious	sensible
conservative	preservative
conserve	preserve	tinned food	canned food	tin	can
considered as	considered	considered to be
construe	construct
consult	advise
consummation	refreshment
content	happy
pleased	happy
contrary	on the contrary
["on" "contrary with"]	["in" "contrast with"]	["in" "contrast to"]
contrary	conflicting
control	check	keep a check on	set
convenience	social convention
conversation	discussion
dialogue	discussion	conversation
["make" "conversation"]	["have" "conversation"]
["conversation" "make"]	["conversation" "have"]
["do" "conversation"]	["have" "conversation"]
["conversation" "do"]	["conversation" "have"]
conversation	dialogue
convert	convince	persuade
convince	persuade
cooker	cook
["make" "cooking"]	["do" "cooking"]
["cooking" "make"]	["cooking" "do"]
copy	cup
cup	bowl
copy	paper	mime	imitate
mime	imitate	copy
cordon	shoelace	cord
cornice	frame
corpse	body
corps	body	corpse
correct	right
["it" "make"]	["it" "cost"]
could to	could
could	managed to	was able to
managed to	could
counsel	council
couple	pair
["pair" "of"]	["couple" "of"]
couple	pair of
coupon	gift token	discount certificate	voucher	gift voucher
course	rate of exchange
court	field	playing field	playground
cover	cover charge
["covered" "by"]	["covered" "with"]	["covered" "in"]
craft	power
["crash" "with"]	["crash" "into"]
crayon	chalk
chalk	piece of chalk
some chalk	piece of chalk
creak	squeek
cream	custard
["with" "credit"]	["on" "credit"]
["do" "crime"]	["commit" "crime"]
["crime" "do"]	["crime" "commit"]
["make" "crime"]	["commit" "crime"]
["crime" "make"]	["crime" "commit"]
["perform" "crime"]	["commit" "crime"]
["crime" "perform"]	["crime" "commit"]
["little" "crime"]	["petty" "crime"]	["small" "crime"]
["crime" "little"]	["crime" "petty"]	["crime" "small"]
critic	review
criticism	review
critique	review
["do" "criticism"]	["make" "criticism"]
["criticism" "do"]	["criticism" "make"]
["cure" "from"]	["cure" "of"]
current	currant
current	movement	trend
cushion	pillow
cut	["cut" "out"]
cut my hair	have my hair cut
cut our hair	have our hair cut
cut your hair	have your hair cut
cut her hair	have her hair cut
cut his hair	have his hair cut
cut their hair	have their hair cut
damage	a lot of damage
["make" "damage"]	["do" "damage"]
["damage" "make"]	["damage" "do"]
dame	dancing partner	woman
lady	woman
dame	lady
damp	moist	humid
moist	humid
damp	moist	wet
moist	wet
humid	wet
damp	wet
fresh	wet
damp	wet
wet	fresh
wet	damp
["do" "dance"]	["give" "dance"]
do a dance	hold a dance
["make" "dance"]	["give" "dance"]
make a dance	hold a dance
["do" "dance"]	["have" "dance"]
["make" "dance"]	["have" "dance"]
go for dancing	go dancing
go for a dance	go dancing
dancing	dance hall
're not daring	don't dare to
darken	get dark	grow dark
day with day	day after day	day by day
dead	dead man
deadly	fatal
mortal	fatal
fatal	deadly
mortal	deadly
dear	dearly
indebted	in debt
a decade of	ten	a set of ten
decay	spoil	go bad
spoil	decay	rot
go bad	decay	rot
decease	disease
lie	deceive
decided	determined
["decide" "for"]	["decide" "on"]
decided	["decide" "on"]
["do" "decision"]	["come to" "decision"]	["make" "decision"]	["take" "decision"]
["decision" "do"]	["decision" "come to"]	["decision" "make"]	["decision" "take"]
declare	register	report
decorate	furnish
how much deep is	how deep is	what depth is
have depth	be
deep	deeply
defend	forbid	prohibit
defy	["challenge" "to"]
delicate	delicious
fragile	delicate
delicate	exquisite
peculiar	exquisite
delicatessen	delicacy
["do" "demand"]	["make" "demand"]
["demand" "do"]	["demand" "make"]
demand to	demand that I	demand that I should	demand that we	demand that we should	demand that you	demand that you should	demand that it	demand that it should	demand that she	demand that she should	demand that he	demand that he should	demand that they	demand that they should
["ask" "for"]	["demand" "for"]
demand	ask for	charge	request
demand myself	wonder
demand ourselves	wonder
demand yourself	wonder
demand itself	wonder
demand herself	wonder
demand himself	wonder
demand themselves	wonder
department	section
["depend" "from"]	["depend" "on"]
deposit	dump
depot	dump
["deprived" "from"]	["deprived" "of"]
descend	get down	get off
["make" "description"]	["give" "description"]
desire	look forward to	want	'd like
desk	office
bureau	office	desk
destruct	destroy
detail	retail
detailed	in detail
with details	in detail
determine	decided
["die" "from"]	["die" "of"]
differ	disagree
["differentiate" "from"]	["disagree" "with"]
["differ" "by"]	["differ" "from"]
["differ" "from"]	["differentiate" "from"]
["differ" "between"]	["differentiate" "between"]
["different" "than"]	["different" "from"]
["do" "difference"]	["make" "difference"]
["difference" "do"]	["difference" "make"]
can't digest	can't stand
diminish	cut down	cut down on
["do" "dinner party"]	["give" "dinner party"]	["have" "dinner party"]
["dinner party" "do"]	["dinner party" "give"]
dinner party done	dinner party had
["make" "dinner party"]	["give" "dinner party"]	["have" "dinner party"]
["dinner party" "make"]	["dinner party" "give"]	["dinner party" "ghave"]
diploma	degree
["make" "degree"]	["do" "degree"]	["take" "degree"]
["degree" "make"]	["degree" "do"]	["degree" "take"]
degree	diploma
diploma	certificate
direct that I should	direct me to
direct that we should	direct us to
direct that you should	direct you to
direct that it should	direct it to
direct that she should	direct her to
direct that he should	direct him to
direct that they should	direct them to
direct	directly	lead
conduct	direct
direction	management
direction	administrative office
all directions	all routes
all other directions	all other routes
director	editor
manager	editor
director	headmaster
manager	headmaster
["play" "dirtily"]	["play" "dirty"]
dirty myself	get dirty
dirty ourselves	get dirty
dirty yourself	get dirty
dirty yourselves	get dirty
dirty itself	get dirty
dirty herself	get dirty
dirty himself	get dirty
disc	tray
discotheque	record library	record collection
["make" "discount"]	["do" "discount"]	["give" "discount"]	["allow" "discount"]
["discount" "make"]	["discount" "do"]	["discount" "give"]	["discount" "allow"]
discover	invent
["find" "out"]	discover
discuss about	discuss
discuss for	discuss
argue	argue about
course	dish
plate	course
dispose	["have" "at my disposal"]	["have" "at our disposal"]	["have" "at your disposal"]	["have" "at her disposal"]	["have" "at his disposal"]	["have" "at their disposal"]
dispose of	["have" "at my disposal"]	["have" "at our disposal"]	["have" "at your disposal"]	["have" "at her disposal"]	["have" "at his disposal"]	["have" "at their disposal"]
disposition	disposal
district	area
region	area	district
dive	dip
dive my head	plunge my head
dive our head	plunge our head
dive your head	plunge your head
dive its head	plunge its head
dive her head	plunge her head
dive his head	plunge his head
dive her head	plunge her head
dip	dive	plunge
diverse	various
divide	share
part	share
divide	part
share	part
["part" "into"]	["divide" "into"]
["divide" "to"]	["divide" "into"]
["divide" "with"]	["divide" "by"]
["divide" "from"]	["divide" "by"]
divine	guess
["do" "guess"]	["have" "guess"]	["make" "guess"]
["give" "guess"]	["have" "guess"]	["make" "guess"]
divorce from	divorce
Mr Dr	Dr
Mr. Dr.	Dr.
Dr	Mr
documentation	literature
dome	cathedral
domicile	address	residence
dominate	control
no	don't
door	doorway
port	doorway
dossier	file
double	duplicate	dub	line	fold
["doubt" "for"]	["doubt" "about"]
I doubt	I doubt it
be in doubt	doubt
["be" "in doubt"]	["do" "doubt"]
not doubt	no doubt
["have" "douse"]	shower	["have" "shower"]	["take" "shower"]
["make" "shower"]	shower	["have" "shower"]	["take" "shower"]
["do" "shower"]	shower	["have" "shower"]	["take" "shower"]
shower	douse
down	downstairs
up	upstairs
get up	get up on
down	down on
drake	dragon
drama	tragedy
dramatic	tragic
tragical	tragic
dream	dream of	dream about
["see" "dream"]	["have" "dream"]
["some" "dress"]	["some" "clothes"]
["some" "costume"]	["some" "clothes"]
clothes	costume	dress
suit	costume	dress
dress up	dress	get dressed
dress	dress up
drive	conduct	led	guide
conduct	drive
guide	drive
lead	drive
drop	fall
["make" "fall"]	["have" "fall"]
["do" "fall"]	["have" "fall"]
let	["let" "to"]
sink	drown	get drowned
drug	medicine
drunken	drunk
dry up	dry
go dry	dry
run dry	dry
["due" "to"]	["owing" "to"]	["because" "of"]
["owing" "to"]	["due" "to"]
during	for
["during" "way"]	["along" "way"]	["on" "way"]
in	during
dust	["cover" "with dust"]
each	every
every of	each of	every one of
["have my" "head"]	["have" "earache"]	["'ve got" "earache"]
["have our" "head"]	["have" "earache"]
["have your" "head"]	["have" "earache"]
["have its" "head"]	["have" "earache"]
["have her" "head"]	["have" "earache"]
["have his" "head"]	["have" "earache"]
["have their" "head"]	["have" "earache"]
early	soon
earlily	early
earnest	serious
grave	serious
earnings	winnings
profits	innings
earth	soil	ground	world
cosmos	world
["in" "cosmos"]	["on" "earth"]	["in" "world"]
ease	facility	convenience
["have" "ease"]	["have" "facility"]
["take it" "easily"]	["take it" "easy"]
easy	easily	light
facile	light
economical	cheap
economic	cheap
cheap	economical
economical	economic
economies	savings
economize	save
spare	save
save	economize
edge	end	tip
extreme	end	tip
end	edge
tip	edge
extreme	edge
end	tip
edge	tip
extreme	tip
end	extreme
edge	extreme
tip	extreme
edge	erb
edit	publish
prepare	edit
edition	publication
editor	publisher
educate	["bring" "up"]
["in" "effect"]	["in" "fact"]
in effect	as a matter of fact
effective	real	actual	effective in
["effective" "of"]	["effective" "in"]
effectively	indeed
effort	trial
["all my" "trials"]	["all my" "efforts"]
all our trials	all our efforts
