abandon	abolish
keep its anger	keep its temper
keep her anger	keep her temper
keep his anger	keep his temper
keep their anger	keep their temper
["his anger" "keep"]	["his temper" "keep"]
lose my anger	lose my tempter
lose our anger	lose our tempter
lose your anger	lose your temper
lose its anger	lose its temper
lose her anger	lose her temper
lose his anger	lose his temper
lose their anger	lose their temper
announce	announce to
announcement	advertisement
annoy	irritate
annoyed	distressed
annoyed with	annoyed at
another	more	some more	something else	someone else
also another	another
["from" "to another"]	["from one" "to another"]
["answer" "for"]	["answer" "to"]
answer to	answer
antique	old
antique thing	antique
anxious	nervous	worried
're anxious	can't wait
anxious	longing
any	each	every	all	[""]	one
anyhow	however	on the other hand	nevertheless
anyway	however	on the other hand	nevertheless
anywhere	everywhere
apologize	apologize to	apologize for
appear	occur
["appear" "on"]	["appear" "in"]
["there" "appears"]	["there" "appears to be"]
apply	apply for
["apply" "to"]	["apply" "for"]
appointment	interview
appreciate	like
["approach" "to"]	approach
appropriate	relevant	suitable
approve	approve of
approximately	about	around	roughly
area	region
argue	have a discussion
argument	reason
["on my" "arms"]	["in my" "arms"]
["on our" "arms"]	["in our" "arms"]
["on your" "arms"]	["in your" "arms"]
["on its" "arms"]	["in its" "arms"]
["on her" "arms"]	["in her" "arms"]
["on his" "arms"]	["in his" "arms"]
["on their" "arms"]	["in their" "arms"]
["sit" "on an armchair"]	["sit" "in an armchair"]
["at my" "arrival"]	["on my" "arrival"]
["at our" "arrival"]	["on our" "arrival"]
["at your" "arrival"]	["on your" "arrival"]
["at its" "arrival"]	["on its" "arrival"]
["at her" "arrival"]	["on her" "arrival"]
["at his" "arrival"]	["on his" "arrival"]
["at their" "arrival"]	["on their" "arrival"]
arrival to	arrival in
["arrive" "to"]	["arrive" "in"]
["arrive" "at"]	["arrive" "in"]
arrive	arrive at
["arrive" "to"]	["arrive" "at"]
artificial	man-made	synthetic
artificial foods	synthetic food substitutes
as	like	such as
as well	either	alike
ashamed	embarrassed
ask to	ask
aspect	point of view
["in" "aspect"]	["in" "respect"]
assassinate	murder
assassin	murderer
assist	attend	help
assure	assure me	assure us	assure you	assure it	assure her	assure him	assure them
asylum	hospice
at	in	on
attend	be at	come	come to	go	go to	make it	make it to
["do" "attend"]	["be" "at"]
attend at	attend
attend to	attend
["pay" "attention"]	["take" "care"]
["attention" "pay"]	["care" "take"]
pay attention	be careful
["do" "pay attention"]	["be" "careful"]
["pay" "attention on"]	["pay" "attention to"]
["attention" "pay on"]	["attention" "pay to"]
["pay" "attention in"]	["pay" "attention to"]
["attention" "pay in"]	["attention" "pay to"]
["pay" "attention at"]	["pay" "attention to"]
["attention" "pay at"]	["attention" "pay to"]
best attention	full attention
["attention" "best"]	["attention" "full"]
attention	service
to the attention of	for the attention of
at the attention of	for the attention of
audience	congregation
average	typical
average of	average number of	average
avoid	prevent
["can't" "avoid"]	["can't" "help"]
avoid	refrain from
["await" "for"]	await
awake	wake up
awake up	wake up
award	reward
["have" "baby"]	["expect" "baby"]
["baby" "have"]	["baby" "expect"]
bad	badly
bad thing about	disadvantage to
be a bad thing	be unfortunate
barely	rarely
base	basis
["have" "bath"]	["have" "swim"]
["bath" "have"]	["swim" "have"]
["take" "bath"]	["have" "bath"]
["bath" "take"]	["bath" "have"]
bathe	have a bath
battle	fight
be	get	become	grow
bear	have
can't bear	can't bear it
beautiful	interesting	newsy
["become" "to"]	["come" "to"]	["grow" "to"]
["become" "to"]	["begin" "to"]	["start" "to"]
get up from my bed	get up
get up from our bed	get up
get up from your bed	get up
get up from its bed	get up
get up from her bed	get up
get up from his bed	get up
get up from their bed	get up
["been" "in"]	["been" "to"]
before	["" "ago"]	ago	[""]
["in the" "beginning of"]	["at the" "beginning of"]
at the beginning	at first
["behave" "with"]	["behave" "towards"]
behind	under
believe in	believe
deeply believe	firmly believe	strongly believe	fervently believe	sincerely believe	truly believe
beloved	[""]
below	under
much below	far below
benefit to	benefit
benefit for	benefit
["be" "benefited by"]	["" "benefit from"]	["do" "benefit from"]
["be benefited" "by"]	["benefit" "from"]
beside	besides
beside of	besides
beside	apart from
["best" "of"]	["best" "in"]
["make my" "best"]	["do my" "best"]
["my best" "make"]	["my best" "do"]
["make our" "best"]	["do our" "best"]
["our best" "make"]	["our best" "do"]
["make your" "best"]	["do your" "best"]
["your best" "make"]	["your best" "do"]
["make its" "best"]	["do its" "best"]
["its best" "make"]	["its best" "do"]
["make her" "best"]	["do her" "best"]
["her best" "make"]	["her best" "do"]
["make his" "best"]	["do his" "best"]
["his best" "make"]	["his best" "do"]
["make their" "best"]	["do their" "best"]
["their best" "make"]	["their best" "do"]
better	had better	["'d better"]
["had better" "to"]	["had" "better"]
["'d better" "to"]	["'d" "better"]
had better	should
between	among
["between" "to"]	["between" "and"]	["from" "to"]
riding a bicycle	cycling
["big" "accident"]	["serious" "accident"]
["accident" "big"]	["accident" "serious"]
["deep" "accident"]	["serious" "accident"]
["accident" "deep"]	["accident" "serious"]
["great" "accident"]	["serious" "accident"]
["accident" "great"]	["accident" "serious"]
["high" "accident"]	["serious" "accident"]
["accident" "high"]	["accident" "serious"]
["strong" "accident"]	["serious" "accident"]
["accident" "strong"]	["accident" "serious"]
["big" "attempt"]	["serious" "attempt"]
["accident" "big"]	["accident" "serious"]
["deep" "attempt"]	["serious" "attempt"]
["accident" "deep"]	["accident" "serious"]
["great" "attempt"]	["serious" "attempt"]
["accident" "great"]	["accident" "serious"]
["high" "attempt"]	["serious" "attempt"]
["accident" "high"]	["accident" "serious"]
["strong" "attempt"]	["serious" "attempt"]
["accident" "strong"]	["accident" "serious"]
["deep" "change"]	["big" "change"]	["great" "change"]
["change" "deep"]	["change" "big"]	["change" "great"]
["high" "change"]	["big" "change"]	["great" "change"]
["change" "high"]	["change" "big"]	["change" "great"]
["serious" "change"]	["big" "change"]	["great" "change"]
["change" "serious"]	["change" "big"]	["change" "great"]
["strong" "change"]	["big" "change"]	["great" "change"]
["change" "strong"]	["change" "big"]	["change" "great"]
["big" "concern"]	["deep" "concern"]	["great" "concern"]	["serious" "concern"]
["concern" "big"]	["concern" "deep"]	["concern" "great"]	["concern" "serious"]
["high" "concern"]	["deep" "concern"]	["great" "concern"]	["serious" "concern"]
["concern" "high"]	["concern" "deep"]	["concern" "great"]	["concern" "serious"]
["strong" "concern"]	["deep" "concern"]	["great" "concern"]	["serious" "concern"]
["concern" "strong"]	["concern" "deep"]	["concern" "great"]	["concern" "serious"]
["big" "cost"]	["great" "cost"]	["high" "cost"]
["cost" "big"]	["cost" "great"]	["cost" "high"]
["deep" "cost"]	["great" "cost"]	["high" "cost"]
["cost" "deep"]	["cost" "great"]	["cost" "high"]
["serious" "cost"]	["great" "cost"]	["high" "cost"]
["cost" "serious"]	["cost" "great"]	["cost" "high"]
["strong" "cost"]	["great" "cost"]	["high" "cost"]
["cost" "strong"]	["cost" "great"]	["cost" "high"]
["big" "crime"]	["serious" "crime"]
["crime" "big"]	["crime" "serious"]
["deep" "crime"]	["serious" "crime"]
["crime" "deep"]	["crime" "serious"]
["great" "crime"]	["serious" "crime"]
["crime" "great"]	["crime" "serious"]
["high" "crime"]	["serious" "crime"]
["crime" "high"]	["crime" "serious"]
["strong" "crime"]	["serious" "crime"]
["crime" "strong"]	["crime" "serious"]
["big" "damage"]	["serious" "damage"]
["damage" "big"]	["damage" "serious"]
["deep" "damage"]	["serious" "damage"]
["damage" "deep"]	["damage" "serious"]
["great" "damage"]	["serious" "damage"]
["damage" "great"]	["damage" "serious"]
["high" "damage"]	["serious" "damage"]
["damage" "high"]	["damage" "serious"]
["strong" "damage"]	["serious" "damage"]
["damage" "strong"]	["damage" "serious"]
["big" "danger"]	["great" "danger"]	["serious" "danger"]
["danger" "big"]	["danger" "great"]	["danger" "serious"]
["deep" "danger"]	["great" "danger"]	["serious" "danger"]
["danger" "deep"]	["danger" "great"]	["danger" "serious"]
["high" "danger"]	["great" "danger"]	["serious" "danger"]
["danger" "high"]	["danger" "great"]	["danger" "serious"]
["strong" "danger"]	["great" "danger"]	["serious" "danger"]
["danger" "strong"]	["danger" "great"]	["danger" "serious"]
["deep" "difference"]	["big" "difference"]	["great" "difference"]
["difference" "deep"]	["difference" "big"]	["difference" "great"]
["high" "difference"]	["big" "difference"]	["great" "difference"]
["difference" "high"]	["difference" "big"]	["difference" "great"]
["serious" "difference"]	["big" "difference"]	["great" "difference"]
["difference" "serious"]	["difference" "big"]	["difference" "great"]
["strong" "difference"]	["big" "difference"]	["great" "difference"]
["difference" "strong"]	["difference" "big"]	["difference" "great"]
["deep" "effect"]	["big" "effect"]	["great" "effect"]	["serious" "effect"]	["strong" "effect"]
["effect" "deep"]	["effect" "big"]	["effect" "great"]	["effect" "serious"]	["effect" "strong"]
["high" "effect"]	["big" "effect"]	["great" "effect"]	["serious" "effect"]	["strong" "effect"]
["effect" "high"]	["effect" "big"]	["effect" "great"]	["effect" "serious"]	["effect" "strong"]
["big" "fun"]	["great" "fun"]
["fun" "big"]	["fun" "great"]
["deep" "fun"]	["great" "fun"]
["fun" "deep"]	["fun" "great"]
["high" "fun"]	["great" "fun"]
["fun" "high"]	["fun" "great"]
["serious" "fun"]	["great" "fun"]
["fun" "serious"]	["fun" "great"]
["strong" "fun"]	["great" "fun"]
["fun" "strong"]	["fun" "great"]
["big" "impression"]	["deep" "impression"]	["strong" "impression"]
["impression" "big"]	["impression" "deep"]	["impression" "strong"]
["great" "impression"]	["deep" "impression"]	["strong" "impression"]
["impression" "great"]	["impression" "deep"]	["impression" "strong"]
["high" "impression"]	["deep" "impression"]	["strong" "impression"]
["impression" "high"]	["impression" "deep"]	["impression" "strong"]
["serious" "impression"]	["deep" "impression"]	["strong" "impression"]
["impression" "serious"]	["impression" "deep"]	["impression" "strong"]
deep improvement	big improvement
["deep" "improvement"]	["great" "improvement"]
["improvement" "deep"]	["improvement" "great"]
high improvement	big improvement
["high" "improvement"]	["great" "improvement"]
["improvement" "high"]	["improvement" "great"]
serious improvement	big improvement
["serious" "improvement"]	["great" "improvement"]
["improvement" "serious"]	["improvement" "great"]
strong improvement	big improvement
["strong" "improvement"]	["great" "improvement"]
["improvement" "strong"]	["improvement" "great"]
["big" "income"]	["high" "income"]
["income" "big"]	["income" "high"]
["deep" "income"]	["high" "income"]
["income" "deep"]	["income" "high"]
["great" "income"]	["high" "income"]
["income" "great"]	["income" "high"]
["serious" "income"]	["high" "income"]
["income" "serious"]	["income" "high"]
["strong" "income"]	["high" "income"]
["income" "strong"]	["income" "high"]
["deep" "influence"]	["big" "influence"]	["great" "influence"]	["strong" "influence"]
deep influence	serious influence
influence deep	influence big	influence serious
["high" "influence"]	["big" "influence"]	["great" "influence"]	["strong" "influence"]
high influence	serious influence
influence high	influence big	influence serious
["big" "interest"]	["serious" "interest"]	["strong" "interest"]
["interest" "big"]	["interest" "strong"]	["interest" "serious"]
["deep" "interest"]	["serious" "interest"]	["strong" "interest"]
["interest" "deep"]	["interest" "strong"]	["interest" "serious"]
["great" "interest"]	["serious" "interest"]	["strong" "interest"]
["interest" "great"]	["interest" "strong"]	["interest" "serious"]
["high" "interest"]	["serious" "interest"]	["strong" "interest"]
["interest" "high"]	["interest" "strong"]	["interest" "serious"]
["deep" "mistake"]	["big" "mistake"]	["great" "mistake"]	["serious" "mistake"]
["mistake" "deep"]	["mistake" "big"]	["mistake" "great"]	["mistake" "serious"]
["high" "mistake"]	["big" "mistake"]	["great" "mistake"]	["serious" "mistake"]
["mistake" "high"]	["mistake" "big"]	["mistake" "great"]	["mistake" "serious"]
["strong" "mistake"]	["big" "mistake"]	["great" "mistake"]	["serious" "mistake"]
["mistake" "strong"]	["mistake" "big"]	["mistake" "great"]	["mistake" "serious"]
["big" "possibility"]	["strong" "possibility"]
["possibility" "big"]	["possibility" "strong"]
["deep" "possibility"]	["strong" "possibility"]
["possibility" "deep"]	["possibility" "strong"]
["great" "possibility"]	["strong" "possibility"]
["possibility" "great"]	["possibility" "strong"]
["high" "possibility"]	["strong" "possibility"]
["possibility" "high"]	["possibility" "strong"]
["serious" "possibility"]	["strong" "possibility"]
["possibility" "serious"]	["possibility" "strong"]
["big" "price"]	["high" "price"]
["price" "big"]	["price" "high"]
["deep" "price"]	["high" "price"]
["price" "deep"]	["price" "high"]
["great" "price"]	["high" "price"]
["price" "great"]	["price" "high"]
["serious" "price"]	["high" "price"]
["price" "serious"]	["price" "high"]
["strong" "price"]	["high" "price"]
["price" "strong"]	["price" "high"]
["big" "pride"]	["great" "pride"]
["pride" "big"]	["pride" "great"]
["deep" "pride"]	["great" "pride"]
["pride" "deep"]	["pride" "great"]
["high" "pride"]	["great" "pride"]
["pride" "high"]	["pride" "great"]
["serious" "pride"]	["great" "pride"]
["pride" "serious"]	["pride" "great"]
["strong" "pride"]	["great" "pride"]
["pride" "strong"]	["pride" "great"]
["deep" "problem"]	["big" "problem"]	["great" "problem"]	["serious" "problem"]
["problem" "deep"]	["problem" "big"]	["problem" "great"]	["problem" "serious"]
["high" "problem"]	["big" "problem"]	["great" "problem"]	["serious" "problem"]
["problem" "high"]	["problem" "big"]	["problem" "great"]	["problem" "serious"]
["strong" "problem"]	["big" "problem"]	["great" "problem"]	["serious" "problem"]
["problem" "strong"]	["problem" "big"]	["problem" "great"]	["problem" "serious"]
["deep" "risk"]	["big" "risk"]	["great" "risk"]	["high" "risk"]	["serious" "risk"]
["strong" "risk"]	["big" "risk"]	["great" "risk"]	["high" "risk"]	["serious" "risk"]
["deep" "shock"]	["big" "shock"]	["great" '"shock"]
["shock" "deep"]	["shock" "great"]
["high" "shock"]	["big" "shock"]	["great" '"shock"]
["shock" "high"]	["shock" "great"]
["serious" "shock"]	["big" "shock"]	["great" '"shock"]
["shock" "serious"]	["shock" "great"]
["strong" "shock"]	["big" "shock"]	["great" '"shock"]
["shock" "strong"]	["shock" "great"]
["big" "skill"]	["great" "skill"]
["skill" "big"]	["skill" "great"]
["deep" "skill"]	["great" "skill"]
["skill" "deep"]	["skill" "great"]
["high" "skill"]	["great" "skill"]
["skill" "high"]	["skill" "great"]
["serious" "skill"]	["great" "skill"]
["skill" "serious"]	["skill" "great"]
["strong" "skill"]	["great" "skill"]
["skill" "strong"]	["skill" "great"]
["big" "speed"]	["great" "speed"]	["high" "speed"]
["speed" "big"]	["speed" "great"]	["speed" "high"]
["deep" "speed"]	["great" "speed"]	["high" "speed"]
["speed" "deep"]	["speed" "great"]	["speed" "high"]
["serious" "speed"]	["great" "speed"]	["high" "speed"]
["speed" "serious"]	["speed" "great"]	["speed" "high"]
["strong" "speed"]	["great" "speed"]	["high" "speed"]
["speed" "strong"]	["speed" "great"]	["speed" "high"]
["deep" "surprise"]	["big" "surprise"]	["great" "surprise"]
surprise deep	surprise big
["surprise" "deep"]	["surprise" "great"]
["high" "surprise"]	["big" "surprise"]	["great" "surprise"]
surprise high	surprise big
["surprise" "high"]	["surprise" "great"]
["serious" "surprise"]	["big" "surprise"]	["great" "surprise"]
surprise serious	surprise big
["surprise" "serious"]	["surprise" "great"]
["strong" "surprise"]	["big" "surprise"]	["great" "surprise"]
surprise strong	surprise big
["surprise" "strong"]	["surprise" "great"]
["big" "threat"]	["serious" "threat"]
["threat" "big"]	["threat" "serious"]
["deep" "threat"]	["serious" "threat"]
["threat" "deep"]	["threat" "serious"]
["great" "threat"]	["serious" "threat"]
["threat" "great"]	["threat" "serious"]
["high" "threat"]	["serious" "threat"]
["threat" "high"]	["threat" "serious"]
["strong" "threat"]	["serious" "threat"]
["threat" "strong"]	["threat" "serious"]
["great" "trouble"]	["big" "trouble"]	["deep" "trouble"]	["serious" "trouble"]
trouble great	trouble big
["trouble" "great"]	["trouble" "deep"]	["trouble" "serious"]
["high" "trouble"]	["big" "trouble"]	["deep" "trouble"]	["serious" "trouble"]
trouble high	trouble big
["trouble" "high"]	["trouble" "deep"]	["trouble" "serious"]
["strong" "trouble"]	["big" "trouble"]	["deep" "trouble"]	["serious" "trouble"]
trouble strong	trouble big
["trouble" "strong"]	["trouble" "deep"]	["trouble" "serious"]
a bit	a little	slightly	rather	quite	somewhat
a little bit	a little	slightly	rather	quite	somewhat
a bit	a little	a bit of	a little bit of
a little bit	a little	a bit of	a little bit of
a little bit too	a bit too	a little too	slightly too	rather too	somewhat too
blame on	blame
["blame" "about"]	["blame" "for"]
["become" "blind"]	["go" "blind"]
["keep a" "blind eye"]	["turn a" "blind eye"]
on board of	on board
dead body	body
book	order
["be" "bored of"]	["be" "bored with"]
["get" "bored of"]	["get" "bored with"]
["be" "born in"]	["be" "born into"]
borrow	lend
boss	manager
both	neither
boundary	border
break	break up	break down
["eat" "breakfast"]	["have" "breakfast"]
["breakfast" "eat"]	["breakfast" "have"]
["take" "breakfast"]	["have" "breakfast"]
["breakfast" "take"]	["breakfast" "have"]
bribe money	bribe
bring	take	fetch	bring about	bring in
bring up	look after
broken	not working
get in a bus	get on a bus
["be" "in a bus"]	["be" "on a bus"]
["be" "for business"]	["be" "on business"]
["go" "for business"]	["go" "on business"]
busy with	busy
by	with	near	from
by itself	in itself
call to	call
ring to	ring
telephone to	telephone
phone call	call	ring	["give" "call"]
["call" "with"]	["call" "on"]
["call" "as"]	call
calm	peaceful	quiet	quiet and relaxing	easygoing
calm down my anger	calm down
calm down our anger	calm down
calm down your anger	calm down
calm down its anger	calm down
calm down her anger	calm down
calm down his anger	calm down
calm down their anger	calm down
cameraman	photographer
cancel	postpone
capacity	skill
capacity of	capacity for
capture	captivate
["go" "into"]	["get" "into"]
["go" "out of"]	["get" "out of"]
["get" "out from"]	["get" "out of"]
["with" "car"]	["in" "car"]
["by" "car"]	["in" "car"]
["care" "for"]	["care" "about"]
["care" "of"]	["care" "about"]
["take care" "about"]	["care" "about"]
["take" "care after"]	["take" "care of"]
["take" "care for"]	["take" "care of"]
["take" "care about"]	["take" "care of"]
career	job	occupation	profession
["be" "careful to"]	["make" "sure I"]	["make" "sure that I"]	["make" "sure we"]	["make" "sure that we"]	["make" "sure you"]	["make" "sure that you"]	["make" "sure it"]	["make" "sure that it"]	["make" "sure she"]	["make" "sure that she"]	["make" "sure he"]	["make" "sure that he"]	["make" "sure they"]	["make" "sure that they"]
careless	carefree
carry	take
["carry" "out"]	conduct	perform
["in this" "case"]	["in this" "respect"]
["in that" "case"]	["in that" "respect"]
["pay" "by cash"]	["pay" "in cash"]
pay by cash	pay cash
cash	in cash
catch	understand
catch up	catch up on	catch up with
cause	reason why	reason
cause for	cause of
important cause	major cause	chief cause	primary cause
certain	some	["some" "or other"]
some certain	certain
my certain	certain
our certain	certain
your certain	certain
its certain	certain
her certain	certain
his certain	certain
certainly	naturally	definitely
certificate	voucher
chair	seat
change of	change in
["change" "with"]	["change" "for"]
character	characteristic
good character	good point
cheap	low
expensive	high
cheap	reasonable	affordable
checking	check-in
cheque of	cheque for
check of	check for
["make" "child"]	["have" "child"]
["child" "make"]	["child" "have"]
choice	decision
choose	prefer
["choose" "between"]	["choose" "from"]
["choose" "among"]	["choose" "from"]
choose for	choose
["circulate" "around"]	["revolve" "around"]
civilization	culture
claim	demand
claim for	demand for	clamour for
classic music	classical music
classic guitar	classical guitar
clean	clean up
climate	weather
["close" "in"]	["lock" "in"]	["shut" "in"]
close	["turn" "off"]	["switch" "off"]
cloth	material
cloths	clothes
clothes	costume
clothing	clothes
collaboration	co-operation
["have" "colour"]	["be" "colour"]
["have" "color"]	["be" "color"]
["colour do" "have"]	colour be
["color do" "have"]	color be
colour	[""]
color	[""]
colour	coloured
color	colored
-coloured	[""]
-colored	[""]
come	go
in common	in general
in common between us	in common
in common between you	in common
in common between them	in common
["compare" "to"]	["compare" "with"]
["complain" "against"]	["complain" "about"]
complaint for	complaint about
completely	very
composed by	composed of
comprehension	understanding
comprehensive	understanding
comprise of	comprise
["concentrate" "in"]	["concentrate" "on"]
["concerned" "in"]	["concerned" "with"]
concerning	with regard to	regarding	as regards
["concerning" ""]	["as far as" "is concerned"]	["as far as" "was concerned"]
as a conclusion	in conclusion
to come to the conclusion	to conclude
["in" "good condition"]	["keeping" "fit and well"]
confidence for	confidence in
["confident" "with"]	["confident" "about"]
confident of myself	self-confident
confident of ourselves	self-confident
confident of yourself	self-confident
confident of yourselves	self-confident
confident of itself	self-confident
confident of herself	self-confident
confident of himself	self-confident
confident of themselves	self-confident
confront with	confront
["congratulate" "for"]	["congratulate" "on"]
congratulations for	congratulations on
["conscious" "about"]	["conscious" "of"]
["consist" "on"]	["consist" "of"]
contact with	contact
continual	continuous
continually	continuously
continuous	continual
continuously	continually
on the contrary	on the other hand
["contribute" "for"]	["contribute" "to"]
contribute	contribute to
control	inspect
control over	control
lose control	go out of control
become out of control	go out of control
not under control	out of control
["lose my" "control"]	["lose" "control"]
["my control" "lose"]	["control" "lose"]
["lose our" "control"]	["lose" "control"]
["our control" "lose"]	["control" "lose"]
["lose your" "control"]	["lose" "control"]
["your control" "lose"]	["control" "lose"]
["lose its" "control"]	["lose" "control"]
["its control" "lose"]	["control" "lose"]
["lose her" "control"]	["lose" "control"]
["her control" "lose"]	["control" "lose"]
["lose his" "control"]	["lose" "control"]
["his control" "lose"]	["control" "lose"]
["lose their" "control"]	["lose" "control"]
["their control" "lose"]	["control" "lose"]
convince	persuade
cooker	cook	chef
["on the" "corner"]	["in the" "corner"]
cost	price
free of cost	free of charge
cost of life	cost of living
could	was able to	managed to
country side	rural areas
course of	course in	course on
["crash" "with"]	["crash" "into"]
crash	crash into
["do" "crime"]	["commit" "crime"]
["crime" "do"]	["crime" "commit"]
["make" "crime"]	["commit" "crime"]
["crime" "make"]	["crime" "commit"]
["perform" "crime"]	["commit" "crime"]
["crime" "perform"]	["crime" "commit"]
criminal rate	crime rate
criminal life	life of crime
critic	review
["critical" "on"]	["critical" "of"]
["do" "criticism"]	["make" "criticism"]
["criticism" "do"]	["criticism" "make"]
["criticism" "on"]	["criticism" "of"]
cry	scream	shout	weep
cry or laugh	laugh or cry
cure	heal	treat	recover
cure to	cure for
cure of	cure for
curiosity on	curiosity about
["from" "curiosity"]	["out of" "curiosity"]
current	modern
custom	habit
cut	cut up	cut out	cut down
cut my hair	have my hair cut	get my hair cut
cut our hair	have our hair cut	get our hair cut
cut your hair	have your hair cut	get your hair cut
cut her hair	have her hair cut	get her hair cut
cut his hair	have his hair cut	get his hair cut
cut their hair	have their hair cut	get their hair cut
damaged	hurt
damaged	injured	wounded
["make" "damage"]	["do" "damage"]	["cause" "damage"]
["damage" "make"]	["damage" "do"]	["damage" "cause"]
["produce" "damage"]	["do" "damage"]	["cause" "damage"]
["damage" "produce"]	["damage" "do"]	["damage" "cause"]
["cause" "damage of"]	["cause" "damage to"]
["damage" "cause of"]	["damage" "cause to"]
["do" "damage in"]	["do" "damage to"]
["damage" "do in"]	["damage" "do to"]
damp	humid
dance	dance to
["dance" "with"]	["dance" "to"]
dare to say	dare say
["dare" "to"]	dare
dare	be ready	be prepared	["dare" "to"]
daren't to	daren't
["become" "dark"]	["get" "dark"]
["become" "dark"]	["go" "dark"]
["on the" "date of"]	["on the" "day of"]
["at" "day"]	["on" "day"]
["at" "date"]	["on" "date"]
["in" "day"]	["on" "day"]
["in" "date"]	["on" "date"]
up to date	to date	up to now	until now
["at" "day"]	["on" "day"]
["in" "day"]	["on" "day"]
days	-day
day after day	day by day
in these days	these days
during these days	these days
in our days	nowadays	these days	today
dead people	dead
["great" "deal of"]	["large" "number of"]
great deal of	great many	many
deal	deal with
["deal" "in"]	["deal" "with"]
["deal" "with"]	["deal" "in"]
deal with	use
["death" "of"]	["death" "from"]
Master	Master's
["degree" "of"]	["degree" "in"]
["obtain" "degree"]	["do" "degree"]
["degree" "obtain"]	["degree" "do"]
very delighted	absolutely delighted
demand	require
